aqi,pm2.5,pm10,no2,so2,co,o3,objectid,measurement,accession_number,latitude,longitude,x,y,pollutant_concentration_mg_kg,soil_ph,temperature_c,humidity_%,rainfall_mm,soil_organic_matter_%,pollution_index,risk_score,risk_score_norm
406.0,223.3,438.48,336.98,462.84,4.26,385.7,,,,,,,,,,,,,,355.9266666666667,355.9266666666667,0.8123667377398721
418.0,229.9,451.44,346.94,476.52,4.39,397.1,,,,,,,,,,,,,,366.44666666666666,366.44666666666666,0.837953091684435
382.0,210.1,412.56,317.06,435.48,4.01,362.9,,,,,,,,,,,,,,334.8866666666667,334.8866666666667,0.7611940298507464
366.0,201.3,395.28,303.78,417.24,3.84,347.7,,,,,,,,,,,,,,320.85999999999996,320.85999999999996,0.7270788912579956
390.0,214.5,421.2,323.7,444.6,4.1,370.5,,,,,,,,,,,,,,341.90000000000003,341.90000000000003,0.7782515991471216
405.0,222.75,437.4,336.15,461.7,4.25,384.75,,,,,,,,,,,,,,355.05,355.05,0.8102345415778253
355.0,195.25,383.4,294.65,404.7,3.73,337.25,,,,,,,,,,,,,,311.21666666666664,311.21666666666664,0.7036247334754797
288.0,158.4,311.04,239.04,328.32,3.02,273.6,,,,,,,,,,,,,,252.48000000000002,252.48000000000002,0.5607675906183369
359.0,197.45,387.72,297.97,409.26,3.77,341.05,,,,,,,,,,,,,,314.72333333333336,314.72333333333336,0.7121535181236675
352.0,193.6,380.16,292.16,401.28,3.7,334.4,,,,,,,,,,,,,,308.58666666666664,308.58666666666664,0.6972281449893389
309.0,169.95,333.72,256.47,352.26,3.24,293.55,,,,,,,,,,,,,,270.89000000000004,270.89000000000004,0.6055437100213221
298.0,163.9,321.84,247.34,339.72,3.13,283.1,,,,,,,,,,,,,,261.24666666666667,261.24666666666667,0.582089552238806
359.0,197.45,387.72,297.97,409.26,3.77,341.05,,,,,,,,,,,,,,314.72333333333336,314.72333333333336,0.7121535181236675
321.0,176.55,346.68,266.43,365.94,3.37,304.95,,,,,,,,,,,,,,281.41,281.41,0.6311300639658849
331.0,182.05,357.48,274.73,377.34,3.48,314.45,,,,,,,,,,,,,,290.1766666666667,290.1766666666667,0.652452025586354
255.0,140.25,275.4,211.65,290.7,2.68,242.25,,,,,,,,,,,,,,223.54999999999998,223.54999999999998,0.49040511727078884
353.0,194.15,381.24,292.99,402.42,3.71,335.35,,,,,,,,,,,,,,309.4633333333333,309.4633333333333,0.6993603411513859
400.0,220.0,432.0,332.0,456.0,4.2,380.0,,,,,,,,,,,,,,350.6666666666667,350.6666666666667,0.7995735607675907
406.0,223.3,438.48,336.98,462.84,4.26,385.7,,,,,,,,,,,,,,355.9266666666667,355.9266666666667,0.8123667377398721
323.0,177.65,348.84,268.09,368.22,3.39,306.85,,,,,,,,,,,,,,283.16333333333336,283.16333333333336,0.6353944562899787
276.0,151.8,298.08,229.08,314.64,2.9,262.2,,,,,,,,,,,,,,241.96,241.96,0.535181236673774
342.0,188.1,369.36,283.86,389.88,3.59,324.9,,,,,,,,,,,,,,299.82,299.82,0.67590618336887
324.0,178.2,349.92,268.92,369.36,3.4,307.8,,,,,,,,,,,,,,284.04,284.04,0.6375266524520257
270.0,148.5,291.6,224.1,307.8,2.84,256.5,,,,,,,,,,,,,,236.70000000000002,236.70000000000002,0.5223880597014926
243.0,133.65,262.44,201.69,277.02,2.55,230.85,,,,,,,,,,,,,,213.02999999999997,213.02999999999997,0.46481876332622596
261.0,143.55,281.88,216.63,297.54,2.74,247.95,,,,,,,,,,,,,,228.81000000000003,228.81000000000003,0.5031982942430705
286.0,157.3,308.88,237.38,326.04,3.0,271.7,,,,,,,,,,,,,,250.7266666666667,250.7266666666667,0.5565031982942431
300.0,165.0,324.0,249.0,342.0,3.15,285.0,,,,,,,,,,,,,,263.0,263.0,0.5863539445628998
302.0,166.1,326.16,250.66,344.28,3.17,286.9,,,,,,,,,,,,,,264.75333333333333,264.75333333333333,0.5906183368869936
270.0,148.5,291.6,224.1,307.8,2.84,256.5,,,,,,,,,,,,,,236.70000000000002,236.70000000000002,0.5223880597014926
244.0,134.2,263.52,202.52,278.16,2.56,231.8,,,,,,,,,,,,,,213.90666666666667,213.90666666666667,0.4669509594882729
274.0,150.7,295.92,227.42,312.36,2.88,260.3,,,,,,,,,,,,,,240.20666666666668,240.20666666666668,0.5309168443496802
293.0,161.15,316.44,243.19,334.02,3.08,278.35,,,,,,,,,,,,,,256.8633333333333,256.8633333333333,0.5714285714285713
243.0,133.65,262.44,201.69,277.02,2.55,230.85,,,,,,,,,,,,,,213.02999999999997,213.02999999999997,0.46481876332622596
256.0,140.8,276.48,212.48,291.84,2.69,243.2,,,,,,,,,,,,,,224.42666666666665,224.42666666666665,0.4925373134328358
291.0,160.05,314.28,241.53,331.74,3.06,276.45,,,,,,,,,,,,,,255.10999999999999,255.10999999999999,0.5671641791044776
287.0,157.85,309.96,238.21,327.18,3.01,272.65,,,,,,,,,,,,,,251.60333333333332,251.60333333333332,0.55863539445629
261.0,143.55,281.88,216.63,297.54,2.74,247.95,,,,,,,,,,,,,,228.81000000000003,228.81000000000003,0.5031982942430705
308.0,169.4,332.64,255.64,351.12,3.23,292.6,,,,,,,,,,,,,,270.0133333333333,270.0133333333333,0.603411513859275
335.0,184.25,361.8,278.05,381.9,3.52,318.25,,,,,,,,,,,,,,293.68333333333334,293.68333333333334,0.6609808102345416
341.0,187.55,368.28,283.03,388.74,3.58,323.95,,,,,,,,,,,,,,298.9433333333333,298.9433333333333,0.673773987206823
304.0,167.2,328.32,252.32,346.56,3.19,288.8,,,,,,,,,,,,,,266.50666666666666,266.50666666666666,0.5948827292110874
178.0,97.9,192.24,147.74,202.92,1.87,169.1,,,,,,,,,,,,,,156.04666666666665,156.04666666666665,0.3262260127931769
191.0,105.05,206.28,158.53,217.74,2.01,181.45,,,,,,,,,,,,,,167.44333333333336,167.44333333333336,0.3539445628997868
187.0,102.85,201.96,155.21,213.18,1.96,177.65,,,,,,,,,,,,,,163.9366666666667,163.9366666666667,0.34541577825159925
