location,latitude,longitude,urbanization_index,industry_density,avg_pm25,source,risk_score
Delhi,28.6139,77.209,1.0,1.0,114.55714285714286,AQI,0.8033
Mumbai,19.076,72.8777,0.0,0.0,58.73034734917733,AQI,0.0017
Caribbean Sea,19.77,-81.06,0.2,0.1,0.0,Marine,0.12
Mediterranean Sea,32.6775,34.920833,0.2,0.1,1.956425,Marine,0.1201
North Sea,58.034333,-3.627833,0.2,0.1,0.004425,Marine,0.12
Inner Seas off the West Coast of Scotland,55.997,-4.888,0.2,0.1,0.0,Marine,0.12
Mediterranean Sea,44.240431,8.469206,0.2,0.1,0.709184,Marine,0.12
New York Bight,39.69,-72.06,0.2,0.1,0.0,Marine,0.12
Gulf of Mexico,20.974583,-97.3069,0.2,0.1,2115.655853,Marine,0.1804
Gulf of California,26.729392,-111.906818,0.2,0.1,2115.655853,Marine,0.1804
Gulf of Mexico,27.9237,-82.4807,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,15.28,-64.43,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,12.73,-61.7,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,12.77,-79.83,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,11.17,-67.28,0.2,0.1,0.00432,Marine,0.12
Caribbean Sea,11.82,-66.38,0.2,0.1,0.00216,Marine,0.12
Caribbean Sea,11.94,-68.26,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,17.27,-76.03,0.2,0.1,0.043196,Marine,0.12
Caribbean Sea,16.73,-81.21,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,16.5,-80.97,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,11.38,-63.34,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,11.22,-62.23,0.2,0.1,0.0,Marine,0.12
Mediterranean Sea,31.746667,34.593,0.2,0.1,0.78064,Marine,0.12
Mediterranean Sea,35.742,26.212,0.2,0.1,0.9,Marine,0.12
Inner Seas off the West Coast of Scotland,55.901,-4.909167,0.2,0.1,0.041614,Marine,0.12
Celtic Sea,50.3247,-5.1998,0.2,0.1,0.0,Marine,0.12
Mediterranean Sea,38.2729,-0.27666,0.2,0.1,2.381713,Marine,0.1201
Mediterranean Sea,36.42,-4.343333,0.2,0.1,0.090741,Marine,0.12
Coastal Waters of Florida,25.7429,-80.0865,0.2,0.1,0.003,Marine,0.12
Gulf of Mexico,27.9899,-82.6316,0.2,0.1,0.0,Marine,0.12
Gulf of California,24.1633,-110.3172,0.2,0.1,0.007,Marine,0.12
Caribbean Sea,13.9,-65.93,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,17.34,-73.36,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,19.5,-74.05,0.2,0.1,0.00648,Marine,0.12
Caribbean Sea,17.02,-63.43,0.2,0.1,0.00216,Marine,0.12
Caribbean Sea,16.34,-62.91,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,15.26,-62.65,0.2,0.1,0.004152,Marine,0.12
Mediterranean Sea,32.840167,34.951833,0.2,0.1,1.513241,Marine,0.12
Mediterranean Sea,37.5,26.3,0.2,0.1,0.066667,Marine,0.12
Mediterranean Sea,41.753333,3.063333,0.2,0.1,0.335,Marine,0.12
Coastal Waters of Southeast Alaska and British Columbia,49.4856,-124.3535,0.2,0.1,0.0,Marine,0.12
Mediterranean Sea,42.696733,10.32925,0.2,0.1,0.020988,Marine,0.12
Gulf of Alaska,60.797,-148.093,0.2,0.1,0.0,Marine,0.12
North Sea,56.423167,-2.472833,0.2,0.1,0.0,Marine,0.12
Mediterranean Sea,36.609833,-3.896333,0.2,0.1,0.016375,Marine,0.12
Mediterranean Sea,37.991333,15.4615,0.2,0.1,0.046479,Marine,0.12
Mediterranean Sea,41.3565,9.3491,0.2,0.1,0.584957,Marine,0.12
Stellwagen Bank National Marine Sanctuary,42.23,-70.24,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,20.4494,-86.9901,0.2,0.1,0.002,Marine,0.12
Gulf of California,28.859672,-112.030125,0.2,0.1,4231.311707,Marine,0.2409
Gulf of Mexico,27.897,-82.4382,0.2,0.1,1000.0,Marine,0.1486
Caribbean Sea,19.09,-77.96,0.2,0.1,0.01512,Marine,0.12
Caribbean Sea,16.23,-86.26,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,19.3465,-81.1861,0.2,0.1,0.001,Marine,0.12
Mediterranean Sea,32.584,34.9055,0.2,0.1,4.17,Marine,0.1201
Mediterranean Sea,43.95,9.873333,0.2,0.1,0.218413,Marine,0.12
Mediterranean Sea,39.26,19.771,0.2,0.1,0.716667,Marine,0.12
Mediterranean Sea,36.5349,13.1282,0.2,0.1,2.34786,Marine,0.1201
Mediterranean Sea,41.379079,2.194423,0.2,0.1,0.912,Marine,0.12
Mediterranean Sea,39.666667,19.366667,0.2,0.1,11.196078,Marine,0.1203
Gulf of California,31.680124,-114.495158,0.2,0.1,1410.437236,Marine,0.1603
Gulf of Mexico,24.24,-83.02,0.2,0.1,0.001348,Marine,0.12
Gulf of Mexico,27.8096,-82.446,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,17.78,-68.15,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,15.66,-60.77,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,10.760339,-61.441728,0.2,0.1,0.666667,Marine,0.12
Caribbean Sea,18.43,-76.23,0.2,0.1,0.0,Marine,0.12
Mediterranean Sea,35.0936,34.3911,0.2,0.1,0.028537,Marine,0.12
Inner Seas off the West Coast of Scotland,57.535333,-6.815,0.2,0.1,0.096683,Marine,0.12
Inner Seas off the West Coast of Scotland,56.3339,-6.383,0.2,0.1,0.0,Marine,0.12
Irish Sea and St. George's Channel,54.636833,-4.444,0.2,0.1,0.066703,Marine,0.12
Norwegian Sea,66.883333,-9.15,0.2,0.1,0.041683,Marine,0.12
Mediterranean Sea,43.063,5.8787,0.2,0.1,0.0,Marine,0.12
Mediterranean Sea,42.611,8.7088,0.2,0.1,1.14324,Marine,0.12
Mediterranean Sea,44.218833,14.168,0.2,0.1,3.203462,Marine,0.1201
North Sea,60.291167,-0.618333,0.2,0.1,0.0,Marine,0.12
Mediterranean Sea,41.791667,9.503333,0.2,0.1,1.013376,Marine,0.12
