City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3
Delhi,1/1/2018 0:00,406,223.3,438.48,336.98,462.84,4.26,385.7
Delhi,1/2/2018 0:00,418,229.9,451.44,346.94,476.52,4.39,397.1
Delhi,1/3/2018 0:00,382,210.1,412.56,317.06,435.48,4.01,362.9
Delhi,1/4/2018 0:00,366,201.3,395.28,303.78,417.24,3.84,347.7
Delhi,1/5/2018 0:00,390,214.5,421.2,323.7,444.6,4.1,370.5
Delhi,1/6/2018 0:00,405,222.75,437.4,336.15,461.7,4.25,384.75
Delhi,1/7/2018 0:00,355,195.25,383.4,294.65,404.7,3.73,337.25
Delhi,1/8/2018 0:00,288,158.4,311.04,239.04,328.32,3.02,273.6
Delhi,1/9/2018 0:00,359,197.45,387.72,297.97,409.26,3.77,341.05
Delhi,1/10/2018 0:00,352,193.6,380.16,292.16,401.28,3.7,334.4
Delhi,1/11/2018 0:00,309,169.95,333.72,256.47,352.26,3.24,293.55
Delhi,1/12/2018 0:00,298,163.9,321.84,247.34,339.72,3.13,283.1
Delhi,1/13/2018 0:00,359,197.45,387.72,297.97,409.26,3.77,341.05
Delhi,1/14/2018 0:00,321,176.55,346.68,266.43,365.94,3.37,304.95
Delhi,1/15/2018 0:00,331,182.05,357.48,274.73,377.34,3.48,314.45
Delhi,1/16/2018 0:00,255,140.25,275.4,211.65,290.7,2.68,242.25
Delhi,1/17/2018 0:00,353,194.15,381.24,292.99,402.42,3.71,335.35
Delhi,1/18/2018 0:00,400,220,432,332,456,4.2,380
Delhi,1/19/2018 0:00,406,223.3,438.48,336.98,462.84,4.26,385.7
Delhi,1/20/2018 0:00,323,177.65,348.84,268.09,368.22,3.39,306.85
Delhi,1/21/2018 0:00,276,151.8,298.08,229.08,314.64,2.9,262.2
Delhi,1/22/2018 0:00,342,188.1,369.36,283.86,389.88,3.59,324.9
Delhi,1/23/2018 0:00,324,178.2,349.92,268.92,369.36,3.4,307.8
