City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3
Mumbai,1/1/2019 0:00,194,106.7,209.52,161.02,221.16,2.04,184.3
Mumbai,1/2/2019 0:00,180,99,194.4,149.4,205.2,1.89,171
Mumbai,1/3/2019 0:00,267,146.85,288.36,221.61,304.38,2.8,253.65
Mumbai,1/4/2019 0:00,223,122.65,240.84,185.09,254.22,2.34,211.85
Mumbai,1/5/2019 0:00,178,97.9,192.24,147.74,202.92,1.87,169.1
Mumbai,1/6/2019 0:00,192,105.6,207.36,159.36,218.88,2.02,182.4
Mumbai,1/7/2019 0:00,146,80.3,157.68,121.18,166.44,1.53,138.7
Mumbai,1/8/2019 0:00,161,88.55,173.88,133.63,183.54,1.69,152.95
Mumbai,1/9/2019 0:00,154,84.7,166.32,127.82,175.56,1.62,146.3
Mumbai,1/10/2019 0:00,219,120.45,236.52,181.77,249.66,2.3,208.05
Mumbai,1/11/2019 0:00,212,116.6,228.96,175.96,241.68,2.23,201.4
Mumbai,1/12/2019 0:00,200,110,216,166,228,2.1,190
Mumbai,1/13/2019 0:00,206,113.3,222.48,170.98,234.84,2.16,195.7
Mumbai,1/14/2019 0:00,163,89.65,176.04,135.29,185.82,1.71,154.85
Mumbai,1/15/2019 0:00,163,89.65,176.04,135.29,185.82,1.71,154.85
Mumbai,1/16/2019 0:00,163,89.65,176.04,135.29,185.82,1.71,154.85
Mumbai,1/17/2019 0:00,193,106.15,208.44,160.19,220.02,2.03,183.35
Mumbai,1/18/2019 0:00,207,113.85,223.56,171.81,235.98,2.17,196.65
Mumbai,1/19/2019 0:00,202,111.1,218.16,167.66,230.28,2.12,191.9
Mumbai,1/20/2019 0:00,251,138.05,271.08,208.33,286.14,2.64,238.45
Mumbai,1/21/2019 0:00,137,75.35,147.96,113.71,156.18,1.44,130.15
Mumbai,1/22/2019 0:00,108,59.4,116.64,89.64,123.12,1.13,102.6
Mumbai,1/23/2019 0:00,93,51.15,100.44,77.19,106.02,0.98,88.35
Mumbai,1/24/2019 0:00,134,73.7,144.72,111.22,152.76,1.41,127.3
Mumbai,1/25/2019 0:00,123,67.65,132.84,102.09,140.22,1.29,116.85
Mumbai,1/26/2019 0:00,115,63.25,124.2,95.45,131.1,1.21,109.25
Mumbai,1/27/2019 0:00,110,60.5,118.8,91.3,125.4,1.16,104.5
Mumbai,1/28/2019 0:00,110,60.5,118.8,91.3,125.4,1.16,104.5
Mumbai,1/29/2019 0:00,118,64.9,127.44,97.94,134.52,1.24,112.1
Mumbai,1/30/2019 0:00,156,85.8,168.48,129.48,177.84,1.64,148.2
Mumbai,1/31/2019 0:00,153,84.15,165.24,126.99,174.42,1.61,145.35
Mumbai,2/1/2019 0:00,153,84.15,165.24,126.99,174.42,1.61,145.35
Mumbai,2/2/2019 0:00,158,86.9,170.64,131.14,180.12,1.66,150.1
Mumbai,2/3/2019 0:00,204,112.2,220.32,169.32,232.56,2.14,193.8
Mumbai,2/4/2019 0:00,197,108.35,212.76,163.51,224.58,2.07,187.15
Mumbai,2/5/2019 0:00,159,87.45,171.72,131.97,181.26,1.67,151.05
Mumbai,2/6/2019 0:00,153,84.15,165.24,126.99,174.42,1.61,145.35
Mumbai,2/7/2019 0:00,90,49.5,97.2,74.7,102.6,0.95,85.5
Mumbai,2/8/2019 0:00,162,89.1,174.96,134.46,184.68,1.7,153.9
Mumbai,2/9/2019 0:00,159,87.45,171.72,131.97,181.26,1.67,151.05
Mumbai,2/10/2019 0:00,187,102.85,201.96,155.21,213.18,1.96,177.65
Mumbai,2/11/2019 0:00,225,123.75,243,186.75,256.5,2.36,213.75
Mumbai,2/12/2019 0:00,219,120.45,236.52,181.77,249.66,2.3,208.05
Mumbai,2/13/2019 0:00,175,96.25,189,145.25,199.5,1.84,166.25
Mumbai,2/14/2019 0:00,97,53.35,104.76,80.51,110.58,1.02,92.15
Mumbai,2/15/2019 0:00,108,59.4,116.64,89.64,123.12,1.13,102.6
Mumbai,2/16/2019 0:00,124,68.2,133.92,102.92,141.36,1.3,117.8
